國民所得統計常用資料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Ⅰ,"19,528,807",34.98,13.16,"786,725","22,348","40,265","1,144","809,426","22,997","41,427","1,177","748,321","21,269","38,298","1,088",,,,,,,,,,,,,,,,,,
  Ⅱ,"19,572,927",32.39,14.29,"832,223","25,531","42,498","1,304","848,429","26,033","43,325","1,329","761,475","23,374","38,884","1,194",,,,,,,,,,,,,,,,,,
  Ⅲ,"19,627,073",30.53,13.64,"862,293","28,064","43,912","1,429","879,938","28,644","44,810","1,459","806,199","26,254","41,054","1,337",,,,,,,,,,,,,,,,,,
  Ⅳ,"19,692,249",29.58,9.95,"863,721","29,013","43,838","1,473","880,520","29,584","44,690","1,503","793,968","26,686","40,298","1,355",,,,,,,,,,,,,,,,,,
77年,"19,839,704",28.61,8.02,"3,615,319","126,366","182,226","6,369","3,712,693","129,769","187,134","6,541","3,387,085","118,388","170,723","5,967",,,,,,,,,,,,,,,,,,
  Ⅰ,"19,744,456",28.61,8.65,"846,978","29,604","42,870","1,498","876,596","30,638","44,368","1,551","813,359","28,429","41,166","1,439",,,,,,,,,,,,,,,,,,
  Ⅱ,"19,788,571",28.68,6.98,"887,744","30,953","44,832","1,563","910,270","31,738","45,970","1,603","828,177","28,876","41,823","1,458",,,,,,,,,,,,,,,,,,
  Ⅲ,"19,846,722",28.77,8.07,"926,609","32,207","46,658","1,622","946,872","32,911","47,678","1,657","866,099","30,105","43,610","1,516",,,,,,,,,,,,,,,,,,
  Ⅳ,"19,917,908",28.39,8.41,"953,988","33,602","47,866","1,686","978,955","34,482","49,118","1,730","879,450","30,978","44,124","1,554",,,,,,,,,,,,,,,,,,
78年,"20,055,492",26.41,8.75,"4,033,071","152,710","201,096","7,614","4,133,840","156,526","206,120","7,805","3,795,599","143,718","189,255","7,166",,,,,,,,,,,,,,,,,,
  Ⅰ,"19,974,292",27.65,9.10,"949,158","34,265","47,507","1,715","975,671","35,221","48,835","1,764","906,837","32,742","45,388","1,639",,,,,,,,,,,,,,,,,,
  Ⅱ,"20,017,398",26.27,9.39,"992,328","37,704","49,561","1,883","1,005,123","38,190","50,200","1,907","921,407","35,015","46,018","1,749",,,,,,,,,,,,,,,,,,
  Ⅲ,"20,071,532",25.74,8.47,"1,023,333","39,683","50,972","1,977","1,052,008","40,796","52,401","2,032","969,910","37,618","48,310","1,874",,,,,,,,,,,,,,,,,,
  Ⅳ,"20,129,675",25.97,8.11,"1,068,252","41,058","53,056","2,039","1,101,038","42,319","54,684","2,102","997,445","38,343","49,539","1,904",,,,,,,,,,,,,,,,,,
79年,"20,278,946",26.89,5.65,"4,480,288","166,615","220,933","8,216","4,597,595","170,978","226,718","8,431","4,183,419","155,575","206,294","7,672",,,,,,,,,,,,,,,,,,
  Ⅰ,"20,180,709",26.18,7.50,"1,072,990","40,997","53,160","2,031","1,104,663","42,206","54,730","2,091","1,025,699","39,184","50,816","1,941",,,,,,,,,,,,,,,,,,
  Ⅱ,"20,235,842",26.91,4.14,"1,102,526","40,983","54,475","2,025","1,129,358","41,979","55,800","2,074","1,006,469","37,406","49,727","1,848",,,,,,,,,,,,,,,,,,
  Ⅲ,"20,304,006",27.25,4.30,"1,115,762","40,957","54,944","2,017","1,142,194","41,926","56,245","2,064","1,056,219","38,765","52,010","1,909",,,,,,,,,,,,,,,,,,
  Ⅳ,"20,372,171",27.23,6.77,"1,189,010","43,678","58,354","2,143","1,221,380","44,867","59,943","2,202","1,095,032","40,220","53,741","1,974",,,,,,,,,,,,,,,,,,
80年,"20,503,568",26.82,8.36,"5,023,763","187,314","245,019","9,136","5,159,313","192,368","251,630","9,382","4,686,035","174,722","228,547","8,522",,,,,,,,,,,,,,,,,,
  Ⅰ,"20,425,383",27.19,7.03,"1,193,397","43,838","58,414","2,146","1,231,282","45,229","60,269","2,214","1,130,436","41,522","55,333","2,032",,,,,,,,,,,,,,,,,,
  Ⅱ,"20,470,490",27.26,8.63,"1,237,128","45,329","60,422","2,214","1,262,851","46,269","61,678","2,260","1,124,074","41,182","54,900","2,011",,,,,,,,,,,,,,,,,,
  Ⅲ,"20,517,601",26.76,9.18,"1,260,298","47,039","61,412","2,292","1,293,677","48,285","63,038","2,353","1,181,873","44,109","57,590","2,150",,,,,,,,,,,,,,,,,,
  Ⅳ,"20,574,737",26.05,8.50,"1,332,940","51,108","64,771","2,484","1,371,503","52,585","66,645","2,555","1,249,652","47,909","60,724","2,329",,,,,,,,,,,,,,,,,,
81年,"20,704,227",25.16,8.29,"5,614,679","223,159","271,185","10,778","5,735,441","227,959","277,018","11,010","5,147,882","204,606","248,639","9,882",,,,,,,,,,,,,,,,,,
  Ⅰ,"20,623,560",25.21,10.52,"1,350,206","53,579","65,440","2,597","1,381,997","54,841","66,982","2,658","1,256,860","49,877","60,915","2,417",,,,,,,,,,,,,,,,,,
  Ⅱ,"20,663,315",25.03,8.49,"1,381,427","55,213","66,824","2,671","1,405,527","56,177","67,990","2,718","1,248,725","49,910","60,405","2,414",,,,,,,,,,,,,,,,,,
  Ⅲ,"20,713,865",25.04,7.92,"1,402,615","56,037","67,684","2,704","1,430,808","57,164","69,045","2,758","1,283,877","51,295","61,954","2,475",,,,,,,,,,,,,,,,,,
  Ⅳ,"20,772,506",25.39,6.50,"1,480,431","58,330","71,237","2,806","1,517,109","59,777","73,001","2,876","1,358,420","53,524","65,365","2,576",,,,,,,,,,,,,,,,,,
82年,"20,899,019",26.39,6.80,"6,205,338","235,140","296,920","11,251","6,319,382","239,461","302,377","11,458","5,681,701","215,297","271,864","10,302",,,,,,,,,,,,,,,,,,
  Ⅰ,"20,818,583",25.78,6.74,"1,503,519","58,321","72,176","2,799","1,537,986","59,655","73,830","2,864","1,377,767","53,446","66,140","2,566",,,,,,,,,,,,,,,,,,
  Ⅱ,"20,854,182",26.08,7.07,"1,531,867","58,737","73,411","2,815","1,559,029","59,776","74,713","2,865","1,385,788","53,139","66,411","2,547",,,,,,,,,,,,,,,,,,
  Ⅲ,"20,902,963",26.85,6.59,"1,551,132","57,770","74,161","2,762","1,574,230","58,628","75,264","2,803","1,418,846","52,846","67,837","2,527",,,,,,,,,,,,,,,,,,
  Ⅳ,"20,963,761",26.84,6.82,"1,618,820","60,312","77,172","2,875","1,648,137","61,402","78,570","2,926","1,499,300","55,866","71,476","2,662",,,,,,,,,,,,,,,,,,
83年,"21,086,645",26.46,7.49,"6,784,442","256,404","321,741","12,160","6,891,959","260,467","326,840","12,352","6,206,187","234,550","294,318","11,123",,,,,,,,,,,,,,,,,,
  Ⅰ,"21,013,346",26.44,5.98,"1,628,330","61,568","77,476","2,930","1,659,637","62,751","78,966","2,986","1,500,470","56,730","71,393","2,700",,,,,,,,,,,,,,,,,,
  Ⅱ,"21,054,279",26.74,7.72,"1,674,412","62,600","79,514","2,973","1,693,659","63,319","80,428","3,007","1,496,140","55,931","71,048","2,656",,,,,,,,,,,,,,,,,,
  Ⅲ,"21,103,486",26.42,6.97,"1,689,891","63,945","80,062","3,030","1,717,577","64,990","81,373","3,080","1,569,595","59,388","74,363","2,813",,,,,,,,,,,,,,,,,,
  Ⅳ,"21,153,782",26.23,9.17,"1,791,809","68,291","84,689","3,227","1,821,086","69,407","86,073","3,279","1,639,982","62,501","77,514","2,954",,,,,,,,,,,,,,,,,,
84年,"21,267,653",26.49,6.50,"7,396,650","279,224","347,789","13,129","7,507,569","283,411","353,004","13,326","6,719,565","253,664","315,952","11,927",,,,,,,,,,,,,,,,,,
  Ⅰ,"21,194,599",26.24,7.55,"1,766,098","67,308","83,314","3,175","1,799,933","68,600","84,910","3,236","1,622,999","61,871","76,564","2,918",,,,,,,,,,,,,,,,,,
  Ⅱ,"21,234,681",25.58,6.45,"1,811,031","70,801","85,272","3,333","1,829,542","71,527","86,144","3,368","1,601,501","62,627","75,407","2,948",,,,,,,,,,,,,,,,,,
  Ⅲ,"21,284,962",26.97,6.98,"1,852,793","68,700","87,033","3,227","1,881,951","69,784","88,402","3,278","1,704,113","63,205","80,049","2,969",,,,,,,,,,,,,,,,,,
  Ⅳ,"21,334,658",27.16,5.16,"1,966,728","72,415","92,170","3,394","1,996,143","73,500","93,548","3,444","1,790,952","65,961","83,932","3,092",,,,,,,,,,,,,,,,,,
85年,"21,441,432",27.46,6.18,"8,036,590","292,665","374,816","13,650","8,146,092","296,653","379,923","13,836","7,300,416","265,856","340,482","12,399",,,,,,,,,,,,,,,,,,
  Ⅰ,"21,372,055",27.43,5.74,"1,929,854","70,352","90,258","3,291","1,971,549","71,872","92,208","3,362","1,769,849","64,520","82,775","3,017",,,,,,,,,,,,,,,,,,
  Ⅱ,"21,405,379",27.39,5.80,"1,974,424","72,082","92,199","3,367","1,992,445","72,740","93,040","3,397","1,762,229","64,336","82,290","3,004",,,,,,,,,,,,,,,,,,
  Ⅲ,"21,446,975",27.51,6.17,"2,020,970","73,459","94,189","3,423","2,041,551","74,207","95,148","3,459","1,838,220","66,817","85,673","3,114",,,,,,,,,,,,,,,,,,
  Ⅳ,"21,497,652",27.50,6.94,"2,111,342","76,772","98,170","3,569","2,140,547","77,834","99,527","3,618","1,930,118","70,183","89,744","3,264",,,,,,,,,,,,,,,,,,
86年,"21,634,124",28.70,6.11,"8,717,241","303,737","402,939","14,040","8,806,852","306,859","407,082","14,184","7,907,557","275,525","365,513","12,736",,,,,,,,,,,,,,,,,,
  Ⅰ,"21,541,042",27.51,5.66,"2,090,221","75,975","96,965","3,524","2,122,599","77,144","98,467","3,578","1,912,355","69,507","88,714","3,224",,,,,,,,,,,,,,,,,,
  Ⅱ,"21,578,401",27.75,5.58,"2,109,448","76,011","97,688","3,520","2,126,612","76,622","98,483","3,547","1,896,470","68,333","87,825","3,164",,,,,,,,,,,,,,,,,,
  Ⅲ,"21,636,961",28.43,6.25,"2,168,305","76,263","100,142","3,522","2,192,484","77,106","101,258","3,560","1,971,798","69,348","91,066","3,202",,,,,,,,,,,,,,,,,,
  Ⅳ,"21,708,293",31.12,6.89,"2,349,267","75,488","108,144","3,474","2,365,157","75,987","108,874","3,499","2,126,934","68,337","97,908","3,146",,,,,,,,,,,,,,,,,,
87年,"21,835,703",33.46,4.21,"9,381,141","280,369","429,624","12,840","9,449,692","282,418","432,763","12,934","8,396,774","250,950","384,543","11,493",,,,,,,,,,,,,,,,,,
  Ⅰ,"21,765,267",33.04,4.85,"2,282,027","69,011","104,850","3,170","2,309,509","69,835","106,113","3,209","2,061,593","62,339","94,722","2,865",,,,,,,,,,,,,,,,,,
  Ⅱ,"21,810,745",33.63,4.28,"2,295,536","68,201","105,251","3,127","2,302,688","68,407","105,579","3,136","2,038,586","60,562","93,470","2,777",,,,,,,,,,,,,,,,,,
  Ⅲ,"21,858,492",34.54,4.70,"2,349,301","67,960","107,482","3,109","2,354,472","68,104","107,717","3,116","2,094,072","60,571","95,804","2,772",,,,,,,,,,,,,,,,,,
  Ⅳ,"21,905,902",32.61,3.11,"2,454,277","75,197","112,041","3,434","2,483,023","76,072","113,354","3,473","2,202,523","67,478","100,547","3,079",,,,,,,,,,,,,,,,,,
88年,"22,010,489",32.27,6.72,"9,815,595","304,171","445,951","13,819","9,906,113","306,976","450,063","13,947","8,770,083","271,772","398,450","12,347",,,,,,,,,,,,,,,,,,
  Ⅰ,"21,947,387",32.64,6.28,"2,413,238","73,896","109,949","3,367","2,442,063","74,776","111,262","3,407","2,160,205","66,148","98,421","3,014",,,,,,,,,,,,,,,,,,
  Ⅱ,"21,987,037",32.71,7.25,"2,411,196","73,675","109,657","3,351","2,422,183","74,009","110,157","3,366","2,152,917","65,783","97,912","2,992",,,,,,,,,,,,,,,,,,
  Ⅲ,"22,028,124",32.02,5.86,"2,429,582","75,837","110,288","3,443","2,443,780","76,278","110,932","3,463","2,165,914","67,607","98,319","3,069",,,,,,,,,,,,,,,,,,
  Ⅳ,"22,070,372",31.70,7.45,"2,561,579","80,763","116,057","3,658","2,598,087","81,913","117,712","3,711","2,291,047","72,234","103,798","3,272",,,,,,,,,,,,,,,,,,
89年,"22,184,530",31.23,6.42,"10,351,260","331,452","466,598","14,941","10,490,818","335,921","472,889","15,142","9,269,557","296,816","417,839","13,379",,,,,,,,,,,,,,,,,,
  Ⅰ,"22,113,582",30.74,6.04,"2,497,930","81,299","112,933","3,676","2,533,808","82,469","114,556","3,728","2,242,449","72,987","101,383","3,300",,,,,,,,,,,,,,,,,,
  Ⅱ,"22,153,653",30.68,6.22,"2,511,843","81,911","113,357","3,697","2,539,819","82,826","114,620","3,738","2,234,070","72,856","100,821","3,288",,,,,,,,,,,,,,,,,,
  Ⅲ,"22,195,739",31.07,7.35,"2,598,637","83,678","117,051","3,769","2,630,134","84,695","118,470","3,815","2,329,423","75,012","104,925","3,379",,,,,,,,,,,,,,,,,,
  Ⅳ,"22,247,811",32.45,6.05,"2,742,850","84,564","123,257","3,799","2,787,057","85,931","125,243","3,861","2,463,615","75,961","110,710","3,412",,,,,,,,,,,,,,,,,,
90年,"22,341,120",33.81,-1.26,"10,158,209","300,450","454,687","13,448","10,350,233","306,129","463,282","13,703","9,015,899","266,664","403,556","11,936",,,,,,,,,,,,,,,,,,
  Ⅰ,"22,292,585",32.53,1.59,"2,533,134","77,849","113,627","3,492","2,588,329","79,540","116,101","3,568","2,262,496","69,527","101,486","3,118",,,,,,,,,,,,,,,,,,
  Ⅱ,"22,324,017",33.48,-2.39,"2,448,239","73,104","109,664","3,275","2,496,931","74,555","111,845","3,340","2,160,403","64,506","96,771","2,890",,,,,,,,,,,,,,,,,,
  Ⅲ,"22,354,019",34.66,-3.83,"2,487,095","71,736","111,255","3,209","2,532,102","73,030","113,268","3,267","2,198,786","63,417","98,358","2,837",,,,,,,,,,,,,,,,,,
  Ⅳ,"22,387,035",34.58,-0.24,"2,689,741","77,761","120,141","3,472","2,732,871","79,004","122,068","3,528","2,394,214","69,214","106,941","3,091",,,,,,,,,,,,,,,,,,
91年,"22,463,172",34.58,5.57,"10,680,883","308,875","475,484","13,750","10,923,385","315,887","486,280","14,062","9,504,407","274,853","423,111","12,236",,,,,,,,,,,,,,,,,,
  Ⅰ,"22,417,770",35.04,1.96,"2,593,621","74,011","115,677","3,301","2,660,384","75,917","118,654","3,386","2,293,439","65,444","102,290","2,919",,,,,,,,,,,,,,,,,,
  Ⅱ,"22,443,730",34.45,6.88,"2,598,101","75,409","115,743","3,359","2,652,820","76,998","118,181","3,430","2,304,496","66,886","102,664","2,980",,,,,,,,,,,,,,,,,,
  Ⅲ,"22,470,926",33.99,7.01,"2,673,352","78,643","118,950","3,499","2,729,723","80,303","121,459","3,573","2,384,684","70,150","106,107","3,121",,,,,,,,,,,,,,,,,,
  Ⅳ,"22,502,570",34.84,6.30,"2,815,809","80,812","125,114","3,591","2,880,458","82,669","127,986","3,673","2,521,788","72,373","112,050","3,216",,,,,,,,,,,,,,,,,,
92年,"22,562,663",34.42,4.12,"10,965,866","318,590","486,018","14,120","11,294,739","328,145","500,594","14,544","9,885,093","287,190","438,117","12,729",,,,,,,,,,,,,,,,,,
  Ⅰ,"22,530,466",34.71,4.89,"2,665,146","76,744","118,270","3,406","2,779,160","80,031","123,329","3,552","2,419,124","69,657","107,352","3,091",,,,,,,,,,,,,,,,,,
  Ⅱ,"22,547,204",34.72,-0.70,"2,582,176","74,333","114,503","3,296","2,665,296","76,730","118,189","3,403","2,307,746","66,431","102,334","2,946",,,,,,,,,,,,,,,,,,
  Ⅲ,"22,564,109",34.25,5.21,"2,763,554","80,647","122,454","3,574","2,816,473","82,195","124,798","3,642","2,462,302","71,853","109,106","3,184",,,,,,,,,,,,,,,,,,
  Ⅳ,"22,589,258",34.00,6.91,"2,954,990","86,866","130,791","3,844","3,033,810","89,189","134,278","3,947","2,695,921","79,249","119,325","3,508",,,,,,,,,,,,,,,,,,
93年,"22,646,836",33.43,6.51,"11,649,645","348,479","514,405","15,388","12,021,744","359,609","530,835","15,879","10,467,622","313,121","462,211","13,826",,,,,,,,,,,,,,,,,,
  Ⅰ,"22,613,014",33.41,6.47,"2,822,220","84,451","124,782","3,735","2,939,172","87,949","129,952","3,888","2,563,023","76,692","113,322","3,391",,,,,,,,,,,,,,,,,,
  Ⅱ,"22,630,864",33.38,9.99,"2,836,014","84,940","125,293","3,753","2,910,103","87,157","128,566","3,850","2,524,568","75,610","111,533","3,341",,,,,,,,,,,,,,,,,,
  Ⅲ,"22,649,796",33.98,6.59,"2,964,819","87,230","130,874","3,850","3,047,436","89,659","134,520","3,958","2,650,555","77,981","117,001","3,443",,,,,,,,,,,,,,,,,,
  Ⅳ,"22,674,232",32.94,3.45,"3,026,592","91,858","133,456","4,050","3,125,033","94,844","137,797","4,183","2,729,476","82,838","120,355","3,651",,,,,,,,,,,,,,,,,,
94年,"22,729,753",32.18,5.42,"12,092,254","375,769","532,001","16,532","12,383,120","384,808","544,798","16,930","10,732,710","333,521","472,188","14,673",,,,,,,,,,,,,,,,,,
  Ⅰ,"22,696,209",31.54,3.46,"2,901,189","92,038","127,807","4,054","3,008,924","95,451","132,553","4,205","2,591,926","82,240","114,183","3,623",,,,,,,,,,,,,,,,,,
  Ⅱ,"22,712,927",31.40,4.87,"2,889,085","92,063","127,180","4,052","2,958,382","94,267","130,230","4,150","2,544,059","81,081","111,992","3,569",,,,,,,,,,,,,,,,,,
  Ⅲ,"22,733,699",32.32,5.48,"3,047,620","94,350","134,036","4,150","3,072,716","95,123","135,139","4,184","2,665,314","82,527","117,223","3,629",,,,,,,,,,,,,,,,,,
  Ⅳ,"22,757,611",33.46,7.58,"3,254,360","97,318","142,978","4,276","3,343,098","99,967","146,876","4,391","2,931,411","87,673","128,790","3,852",,,,,,,,,,,,,,,,,,
95年,"22,823,455",32.53,5.62,"12,640,803","388,589","553,851","17,026","12,952,502","398,171","567,508","17,446","11,117,367","341,757","487,103","14,974",,,,,,,,,,,,,,,,,,
  Ⅰ,"22,780,718",32.32,6.08,"3,037,798","94,024","133,319","4,126","3,155,292","97,657","138,474","4,285","2,705,267","83,732","118,724","3,674",,,,,,,,,,,,,,,,,,
  Ⅱ,"22,802,844",32.18,6.05,"3,038,119","94,443","133,203","4,140","3,107,187","96,586","136,230","4,234","2,647,429","82,297","116,074","3,608",,,,,,,,,,,,,,,,,,
  Ⅲ,"22,826,840",32.78,6.68,"3,215,915","98,140","140,850","4,299","3,263,652","99,593","142,940","4,363","2,797,370","85,367","122,519","3,738",,,,,,,,,,,,,,,,,,
  Ⅳ,"22,857,785",32.85,3.86,"3,348,971","101,982","146,479","4,461","3,426,371","104,335","149,864","4,564","2,967,301","90,361","129,786","3,954",,,,,,,,,,,,,,,,,,
96年,"22,917,444",32.84,6.52,"13,407,062","408,254","585,016","17,814","13,739,828","418,387","599,536","18,256","11,590,959","352,952","505,770","15,401",,,,,,,,,,,,,,,,,,
  Ⅰ,"22,878,491",32.92,5.19,"3,180,147","96,575","138,941","4,219","3,310,398","100,533","144,630","4,392","2,773,249","84,215","121,163","3,679",,,,,,,,,,,,,,,,,,
  Ⅱ,"22,891,176",33.11,6.25,"3,204,724","96,763","139,937","4,225","3,300,328","99,652","144,110","4,351","2,771,943","83,692","121,039","3,654",,,,,,,,,,,,,,,,,,
  Ⅲ,"22,913,604",32.91,7.65,"3,464,717","105,250","151,142","4,592","3,496,111","106,205","152,510","4,633","2,939,220","89,283","128,218","3,895",,,,,,,,,,,,,,,,,,
  Ⅳ,"22,941,836",32.43,6.82,"3,557,474","109,666","154,996","4,778","3,632,991","111,997","158,286","4,880","3,106,547","95,762","135,350","4,173",,,,,,,,,,,,,,,,,,
97年,"22,997,696",31.54,0.70,"13,150,950","416,961","571,838","18,131","13,465,596","426,937","585,519","18,564","11,161,869","353,896","485,347","15,388",,,,,,,,,,,,,,,,,,
  Ⅰ,"22,968,580",31.53,7.72,"3,345,497","105,974","145,634","4,614","3,507,023","111,092","152,664","4,836","2,912,218","92,271","126,772","4,016",,,,,,,,,,,,,,,,,,
  Ⅱ,"22,986,531",30.44,5.48,"3,320,942","108,964","144,452","4,739","3,370,925","110,605","146,625","4,811","2,763,750","90,703","120,215","3,945",,,,,,,,,,,,,,,,,,
  Ⅲ,"23,001,000",31.19,-1.32,"3,248,413","104,021","141,209","4,522","3,301,388","105,718","143,510","4,595","2,729,925","87,439","118,669","3,801",,,,,,,,,,,,,,,,,,
  Ⅳ,"23,022,384",32.98,-7.65,"3,236,098","98,002","140,543","4,256","3,286,260","99,522","142,720","4,322","2,755,976","83,483","119,691","3,626",,,,,,,,,,,,,,,,,,
98年,"23,078,402",33.06,-1.57,"12,961,656","392,065","561,636","16,988","13,375,650","404,587","579,574","17,531","10,985,329","332,285","476,000","14,398",,,,,,,,,,,,,,,,,,
  Ⅰ,"23,047,791",33.98,-7.88,"3,117,366","91,641","135,231","3,975","3,249,858","95,542","140,978","4,145","2,630,165","77,305","114,097","3,353",,,,,,,,,,,,,,,,,,
  Ⅱ,"23,063,948",33.13,-6.07,"3,110,192","93,776","134,825","4,065","3,201,098","96,523","138,765","4,184","2,603,474","78,485","112,861","3,402",,,,,,,,,,,,,,,,,,
  Ⅲ,"23,077,893",32.80,-1.24,"3,276,808","99,794","141,962","4,324","3,345,042","101,878","144,918","4,414","2,743,314","83,532","118,851","3,619",,,,,,,,,,,,,,,,,,
  Ⅳ,"23,103,107",32.32,9.04,"3,457,290","106,854","149,618","4,624","3,579,652","110,644","154,913","4,788","3,008,376","92,963","130,191","4,024",,,,,,,,,,,,,,,,,,
99年,"23,140,948",31.65,10.63,"14,119,213","446,105","610,140","19,278","14,548,852","459,679","628,706","19,864","12,194,428","385,290","526,963","16,650",,,,,,,,,,,,,,,,,,
  Ⅰ,"23,125,433",31.96,12.46,"3,431,321","107,317","148,369","4,641","3,591,712","112,342","155,302","4,858","2,998,824","93,783","129,667","4,055",,,,,,,,,,,,,,,,,,
  Ⅱ,"23,134,737",31.93,12.40,"3,490,368","109,266","150,860","4,723","3,597,150","112,618","155,475","4,868","3,000,503","93,923","129,688","4,060",,,,,,,,,,,,,,,,,,
